Объем вычислений (мкс),Размер сообщения (байт),Количество пересылок,Время выполнения (сек)
1000,1024,1,0.126336
1000,10240,1,0.00161896
1000,102400,1,0.011413
1000,1048576,1,0.0757363
10000,1024,1,0.000289361
10000,10240,1,0.00116818
10000,102400,1,0.00970902
10000,1048576,1,0.0703366
100000,1024,1,0.00405394
100000,10240,1,0.0118017
100000,102400,1,0.0210958
100000,1048576,1,0.0740012
1000000,1024,1,0.116511
1000000,10240,1,0.124698
1000000,102400,1,0.133552
1000000,1048576,1,0.186155
