Объем вычислений (мкс),Размер сообщения (байт),Время выполнения (сек)
1000,1024,0.00085153
1000,10240,0.00431806
1000,102400,0.0385688
1000,1048576,0.411178
10000,1024,0.00199503
10000,10240,0.00551912
10000,102400,0.0383446
10000,1048576,0.408588
100000,1024,0.0132958
100000,10240,0.0168806
100000,102400,0.0494766
100000,1048576,0.413789
1000000,1024,0.125782
1000000,10240,0.129325
1000000,102400,0.161719
1000000,1048576,0.524985
