Объем вычислений (мкс),Размер сообщения (байт),Количество пересылок,Время выполнения (сек)
1000,1024,1,0.434665
1000,10240,1,0.016889
1000,102400,1,0.0431817
1000,1048576,1,0.300312
10000,1024,1,0.000770621
10000,10240,1,0.00983378
10000,102400,1,0.034252
10000,1048576,1,0.287318
100000,1024,1,0.000787128
100000,10240,1,0.00996586
100000,102400,1,0.0334611
100000,1048576,1,0.253655
1000000,1024,1,0.0224748
1000000,10240,1,0.0355674
1000000,102400,1,0.0617129
1000000,1048576,1,0.273326
